objectid,city_name,city_altnm,lat,lng
19170,Canelones,"Canelones, Guadalupe, Villa De Canelones",-34.522778317,-56.277779767
19171,Juan Lacaze,"J.L. Lacaze, Juan L. Lacaze, Juan Lacaze",-34.418878273,-57.452846108
19172,Nueva Helvecia,Nueva Helvecia,-34.299997795,-57.233328072
19173,Ciudad De La Costa,"S'Judad-De-La-Kosta, Siudad De La Kosta",-34.819718514,-55.951999197
19174,Las Piedras,"Las Piedras, Las-P'Edras, Piedras",-34.730195907,-56.219149525
19175,Progreso,"Ingeniero Eduardo Garcia De Zuniga, Ingeniero Eduardo García De Zúñiga, Progreso",-34.667367182,-56.217579031
19176,Pando,"Pando, Villa De Pando, Пандо",-34.717159464,-55.958398169
19177,Maldonado,"Mal'Donado, Maldonadas, Maldonado",-34.899998161,-54.949997596
19178,San Carlos,"San Carlos, Villa De San Carlos",-34.791229139,-54.918236736
19179,Florida,"Ciudad De La Florida, Florida, Флорида",-34.095559193,-56.214168046
19180,Minas,"Ciudad De Minas, Lavalleja, Minas",-34.375889962,-55.237708333
19181,Rocha,"Ciudad De Rocha, Roca, Rocha",-34.48332699,-54.333329304
19182,Benjamín Aceval,"",-24.994722647,-57.552444171
19183,San Nicolás De Los Arroyos,"San Nicolas, San Nicolas De Los Arroyos, San Nicolás",-33.335778028,-60.225229937
19184,Rafaela,"Raf, Rafaehla, Rafaela",-31.250329684,-61.486695899
19185,Dolores,Dolores,-33.530087175,-58.217005754
19186,Mercedes,"Ciudad De Mercedes, Mercedes, Mersedes",-33.252397894,-58.030468073
19187,Fray Bentos,"Frai Bentosas, Fraj Bentos, Fraj-Bentos",-33.121938967,-58.303058876
19188,Gualeguaychu,"Ghu, Gualeguaicu, Gualeguaiču",-33.009367461,-58.517217436
19189,Trinidad,"Porongos, Trinidad, Trinidadas",-33.516497235,-56.899569037
19190,Durazno,"Dzo, Duranzo, Durasnas",-33.380557332,-56.523609188
19191,Young,Young,-32.698436826,-57.626927844
19192,Paso De Los Toros,"Paso De Los Toros, Santa Isabel",-32.816669307,-56.516665718
19193,Paysandú,"Ciudad De Paysandu, Ciudad De Paysandú, Gorad Pajsandu",-32.321387982,-58.075557875
19194,Salto,"Ciudad Del Salto, Sty, Sal'To",-31.3833266,-57.966667353
19195,Bella Unión,"Buv, Bel'Ja Union, Bel'Ja-Un'On",-30.259659033,-57.599189966
19196,Artigas,"Ati, Artigas, Artigasas",-30.399999917,-56.466666438
19197,San Miguel De Tucumán,"Gorad San-Migel'-Deh-Tukuman, San Migel De Tukuman, San Miguel De Tucuman",-26.824135615,-65.222597498
19198,Bermejo,"",-22.73218208,-64.343265358
19199,Guarambaré,"",-25.492082963,-57.455865595
19200,Itá,"",-25.507472896,-57.363188502
19201,Ypané,"",-25.456987617,-57.507592868
19202,Villa Elisa,"",-25.371519492,-57.589825507
19203,Ñemby,"",-25.392453401,-57.547107195
19204,Julián Augusto Saldívar,"",-25.443897175,-57.443045151
19205,Itauguá,"",-25.394730391,-57.353288545
19206,Areguá,"",-25.31294325,-57.385233905
19207,Paraguarí,"",-25.6203504,-57.150510436
19208,Ypacaraí,"",-25.404679847,-57.285775342
19209,Coronel Oviedo,"",-25.450053148,-56.440697052
19210,José Falcón,"",-25.215937176,-57.713093466
19211,Mariano Roque Alonso,"",-25.210865698,-57.532027761
19212,Limpio,Limpio,-25.173637361,-57.478027998
19213,Villa Hayes,"",-25.09199422,-57.525624289
19214,Treinta Y Tres,"Treinta I Tresas, Treinta Y Tres, Trejnta I Tres",-33.233326978,-54.383328584
19215,Melo,"Ciudad De Melo, Mlz, Mel",-32.370275767,-54.167496032
19216,Tacuarembó,"San Fructuoso, Tacuarembo, Tacuarembó",-31.716937135,-55.98110957
19217,Rivera,Villa De Rivera,-30.905338698,-55.550758459
19218,Encarnacion,Encarnacion,-27.337610361,-55.866945071
19219,Caaguazú,"",-25.466172077,-56.018166907
19220,Juan Emilio O'Leary,"",-25.421001275,-55.374057735
19221,Doctor Juan León Mallorquín,"",-25.429344239,-55.252540268
19222,Yguazú,"",-25.463400089,-55.001148872
19223,Minga Guazú,"",-25.491029968,-54.767739396
19224,Hernandarias,"",-25.404175849,-54.632037992
19225,San Alberto,"",-24.976542727,-54.911630765
19226,Santa Fé Del Paraná,"",-25.223717641,-54.704393175
19227,Mbaracayú,"",-25.028274499,-54.824088149
19228,Pedro Juan Caballero,"",-22.547079892,-55.740491126
19229,Mala,"",-12.65733831,-76.629723419
19230,Tocopilla,"Tocopilla, Tokopil'Ja, Tokopilija",-22.09197889,-70.197919656
19231,Mollendo,"",-17.024680551,-72.015352319
19232,Moquegua,Moquegua,-17.193799894,-70.934561922
19233,San Juan De Marcona,"",-15.361965936,-75.16713534
19234,Nazca,Nazca,-14.827719281,-74.93706035
